City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Faanui,PF,78.49,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
208,Hervey Bay,AU,76.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
212,Puerto Escondido,MX,86.61,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
219,Sola,VU,81.99,overcast clouds,-13.8833,167.55,Leumerus Bungalows
222,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
225,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
228,Kpalime,TG,77.31,overcast clouds,6.9,0.6333,Hotel La Lumiere Kpalimé
233,Wewak,PG,78.89,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
234,Diffa,NE,87.13,few clouds,13.3154,12.6113,ProDAF/Diffa
236,Puerto Leguizamo,CO,79.56,overcast clouds,-0.1934,-74.7819,la casona de juancho
237,Gizo,SB,83.08,light rain,-8.103,156.8419,Imagination Island
240,Saint George,US,79.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
243,Carlos Antonio Lopez,PY,82.13,moderate rain,-26.4,-54.7667,Milenium
246,Gwadar,PK,79.47,clear sky,25.1216,62.3254,Sadaf Resort
248,Poum,NC,75.02,clear sky,-20.2333,164.0167,Gîte kajeon
255,Caravelas,BR,78.26,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
262,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
267,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
271,Aloleng,PH,78.58,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
272,Umm Lajj,SA,83.44,clear sky,25.0213,37.2685,Moon light Furnished Units
274,Laguna,US,77.95,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
275,Tinaquillo,VE,80.92,light rain,9.9186,-68.3047,Hotel Los Copihues
276,Selma,US,76.91,overcast clouds,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
277,Pacific Grove,US,77.63,clear sky,36.6177,-121.9166,Lovers Point Inn
284,Cabo San Lucas,MX,88.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
286,Hialeah Gardens,US,87.01,overcast clouds,25.8651,-80.3245,Ramada Hialeah/Miami Airport
287,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
293,Morro Bay,US,85.24,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
297,Omboue,GA,76.89,light rain,-1.5746,9.2618,Hotel Olako
300,Sawakin,SD,84.51,clear sky,19.1059,37.3321,فندق الدويم
302,Maldonado,UY,81.79,clear sky,-34.6667,-54.9167,La Cimarrona
304,Kandana,LK,77.02,thunderstorm,7.048,79.8937,Palm Village Hotel
307,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
310,Takoradi,GH,79.59,broken clouds,4.8845,-1.7554,Raybow International Hotel
313,Jati,PK,78.82,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
319,Mumford,GH,79.52,light rain,5.2618,-0.759,Spanish Villa
321,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
327,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
328,Bacolod,PH,79.21,overcast clouds,10.6667,122.95,Planta Hotel & Residences
336,Pyapon,MM,76.55,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
342,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
344,Boyolangu,ID,76.26,light rain,-8.1181,111.8935,Yos ega cv
347,Garzon,CO,82.51,broken clouds,2.1959,-75.6278,Hotel Encanto Real
350,Kribi,CM,79.18,overcast clouds,2.95,9.9167,Les Vagues bleues
353,Wukari,NG,82.89,broken clouds,7.85,9.7833,Elimtop
355,Nicoya,CR,85.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
