City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Kodiak,US,57.79,-152.4072,42.31,61,90,24.16,light rain
135,Itarantim,BR,-15.6597,-40.0656,78.13,70,84,9.51,broken clouds
136,Saint-Joseph,RE,-21.3667,55.6167,70.16,79,25,10.56,scattered clouds
137,Kamaishi,JP,39.2667,141.8833,48.43,77,0,5.73,clear sky
138,Tautira,PF,-17.7333,-149.15,78.82,75,35,13.85,scattered clouds
139,Barsovo,RU,61.1667,73.1667,19.53,91,100,20.33,light snow
140,San Quintin,MX,30.4833,-115.95,75.69,44,0,7.99,clear sky
141,Ossora,RU,59.2353,163.0719,19.96,89,30,7.83,scattered clouds
142,Saint-Philippe,RE,-21.3585,55.7679,71.15,81,46,8.48,scattered clouds
143,Kirchberg,DE,50.6167,12.5333,44.46,66,62,6.35,broken clouds
144,Opuwo,NA,-18.0607,13.84,79.88,35,40,8.23,scattered clouds
145,Dingle,PH,10.9995,122.6711,75.63,91,63,7.4,broken clouds
146,Russell,US,32.3502,-85.1999,58.6,63,90,6.91,overcast clouds
147,Montorio Al Vomano,IT,42.5831,13.6383,54.77,84,70,2.57,broken clouds
148,Coahuayana,MX,18.7333,-103.6833,87.85,65,49,5.84,scattered clouds
149,Ochtrup,DE,52.2167,7.1833,59.34,75,100,16.35,overcast clouds
150,Eloy,US,32.7559,-111.5548,91.54,12,0,2.44,clear sky
151,Barrow,US,71.2906,-156.7887,-5.78,77,1,10.36,clear sky
152,Sidi Ali,DZ,36.0998,0.4206,65.17,64,82,0.83,broken clouds
153,Carnarvon,AU,-24.8667,113.6333,64.47,72,0,17.27,clear sky
154,Lazaro Cardenas,MX,17.9583,-102.2,85.01,65,0,4.18,clear sky
155,Talaya,RU,61.3833,152.75,-3.95,98,56,2.21,broken clouds
156,Meridian,US,43.6121,-116.3915,65.84,55,1,5.01,clear sky
157,Mahebourg,MU,-20.4081,57.7,74.25,88,75,2.3,broken clouds
158,Padang,ID,-0.9492,100.3543,78.26,87,98,2.95,overcast clouds
159,Upernavik,GL,72.7868,-56.1549,19.17,60,6,6.38,clear sky
160,Isangel,VU,-19.55,169.2667,75.15,86,4,6.11,clear sky
161,Freeport,US,40.6576,-73.5832,59.49,69,90,7.0,overcast clouds
162,Kapaa,US,22.0752,-159.319,78.78,94,90,6.91,heavy intensity rain
163,Gardelegen,DE,52.5252,11.3952,53.4,62,100,7.4,overcast clouds
164,Tiksi,RU,71.6872,128.8694,8.2,94,97,6.55,overcast clouds
165,Lagoa,PT,39.05,-27.9833,67.39,94,100,22.7,overcast clouds
166,Portland,US,45.5234,-122.6762,55.15,92,75,1.01,broken clouds
167,Cabedelo,BR,-6.9811,-34.8339,81.27,72,37,14.79,scattered clouds
168,Esperance,AU,-33.8667,121.9,49.84,79,34,6.06,scattered clouds
169,Bambous Virieux,MU,-20.3428,57.7575,74.21,88,75,2.3,broken clouds
170,Isabela,PH,6.7085,121.9711,77.05,85,71,2.86,heavy intensity rain
171,Saldanha,ZA,-33.0117,17.9442,64.45,89,0,7.02,clear sky
172,Lyubashivka,UA,47.8372,30.2598,48.52,71,0,6.82,clear sky
173,Sao Filipe,CV,14.8961,-24.4956,79.74,73,97,9.51,overcast clouds
174,Merauke,ID,-8.4667,140.3333,78.67,88,100,7.74,overcast clouds
175,Tabas,IR,33.5959,56.9244,65.14,26,87,0.98,overcast clouds
176,Maneadero,MX,31.7167,-116.5667,70.11,73,0,1.01,clear sky
177,Erenhot,CN,43.6475,111.9767,39.27,54,0,9.24,clear sky
178,Tuatapere,NZ,-46.1333,167.6833,52.11,91,99,5.46,overcast clouds
179,Brae,GB,60.3964,-1.353,53.51,93,100,25.12,overcast clouds
180,Bay Roberts,CA,47.5999,-53.2648,42.33,87,100,13.0,overcast clouds
181,Mar Del Plata,AR,-38.0023,-57.5575,69.82,93,0,15.99,clear sky
182,San Andres,CO,12.5847,-81.7006,83.68,69,100,4.47,overcast clouds
183,Sur,OM,22.5667,59.5289,78.48,50,0,2.26,clear sky
184,Virginia Beach,US,36.8529,-75.978,78.84,81,75,11.5,broken clouds
185,Bose,IT,45.4612,8.0137,53.24,82,85,1.74,overcast clouds
186,Taltal,CL,-25.4,-70.4833,67.35,60,22,5.57,few clouds
187,Saint-Georges,GD,12.0564,-61.7485,85.68,66,20,17.27,few clouds
188,Opunake,NZ,-39.4556,173.8583,54.63,85,30,11.21,scattered clouds
189,Baker City,US,44.7749,-117.8344,60.51,63,1,16.11,clear sky
190,Ostrovnoy,RU,68.0531,39.5131,37.45,97,100,15.66,overcast clouds
191,Soyo,AO,-6.1349,12.3689,79.2,80,42,2.71,scattered clouds
192,Vila Velha,BR,-20.3297,-40.2925,80.55,69,75,11.5,broken clouds
193,Bengkulu,ID,-3.8004,102.2655,75.56,93,88,5.06,overcast clouds
194,San Cristobal,VE,7.7669,-72.225,74.07,83,100,2.75,overcast clouds
195,Srednekolymsk,RU,67.45,153.6833,2.21,97,100,3.8,light snow
196,Labuhan,ID,-6.8844,112.2051,80.82,80,100,9.24,overcast clouds
197,Chokurdakh,RU,70.6333,147.9167,-16.73,99,99,3.58,overcast clouds
198,Vao,NC,-22.6667,167.4833,70.39,72,87,10.54,overcast clouds
199,Tavda,RU,58.0425,65.2726,22.91,69,6,9.82,clear sky
200,Quzhou,CN,28.9594,118.8686,61.52,78,100,2.62,light rain
201,Naze,JP,28.3667,129.4833,69.22,66,86,11.39,overcast clouds
202,Ojinaga,MX,29.5667,-104.4167,76.15,22,1,5.75,clear sky
203,Ken Caryl,US,39.5773,-105.1169,75.58,20,0,1.99,clear sky
204,Chifeng,CN,42.2683,118.9636,46.09,65,22,6.91,few clouds
205,Yungay,PE,-9.1383,-77.7436,67.86,56,98,4.72,light rain
206,Faanui,PF,-16.4833,-151.75,78.49,72,100,14.36,overcast clouds
207,Beboto,TD,8.2668,16.939,76.41,65,83,3.36,broken clouds
208,Hervey Bay,AU,-25.2986,152.8535,76.03,86,97,14.81,overcast clouds
209,Stornoway,GB,58.2093,-6.3865,54.93,93,20,3.44,few clouds
210,Huallanca,PE,-9.8993,-76.9417,57.25,53,99,11.92,overcast clouds
211,Seddon,AU,-37.8068,144.8916,46.53,86,40,1.01,scattered clouds
212,Puerto Escondido,MX,15.85,-97.0667,86.61,67,2,7.18,clear sky
213,Richards Bay,ZA,-28.783,32.0377,68.45,86,100,17.05,light rain
214,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,94,99,18.66,overcast clouds
215,Sebrovo,RU,50.0981,43.2976,40.75,77,1,1.63,clear sky
216,Shepetivka,UA,50.1855,27.0637,48.02,80,7,8.5,clear sky
217,Carahue,CL,-38.7,-73.1667,64.6,44,100,8.81,overcast clouds
218,Orsha,BY,54.5153,30.4053,47.59,93,86,9.28,overcast clouds
219,Sola,VU,-13.8833,167.55,81.99,71,100,15.79,overcast clouds
220,Lavrentiya,RU,65.5833,-171.0,13.86,81,100,5.08,overcast clouds
221,Northam,GB,51.0333,-4.2167,55.09,88,100,16.22,overcast clouds
222,Port Hedland,AU,-20.3167,118.5667,75.25,69,86,10.36,overcast clouds
223,Barkhan,PK,29.8977,69.5256,63.59,23,0,2.98,clear sky
224,Norman Wells,CA,65.282,-126.8329,21.24,93,75,3.44,light snow
225,Alofi,NU,-19.0595,-169.9187,75.09,60,78,10.36,broken clouds
226,Sorland,NO,67.667,12.6934,46.26,84,100,13.29,overcast clouds
227,Tashla,RU,51.7716,52.7427,38.28,88,58,3.38,broken clouds
228,Kpalime,TG,6.9,0.6333,77.31,85,100,3.13,overcast clouds
229,Udachnyy,RU,66.4167,112.4,-12.57,99,52,5.75,broken clouds
230,Noumea,NC,-22.2763,166.4572,73.0,99,16,8.14,few clouds
231,Sinop,TR,41.7711,34.8709,41.77,88,5,2.95,clear sky
232,Tselinnoye,RU,53.0833,85.6667,36.91,82,100,10.22,overcast clouds
233,Wewak,PG,-3.5534,143.6268,78.89,87,98,3.22,overcast clouds
234,Diffa,NE,13.3154,12.6113,87.13,13,13,5.61,few clouds
235,Saint-Leu,RE,-21.15,55.2833,70.63,83,68,8.43,broken clouds
236,Puerto Leguizamo,CO,-0.1934,-74.7819,79.56,83,91,4.0,overcast clouds
237,Gizo,SB,-8.103,156.8419,83.08,76,57,8.08,light rain
238,Mehamn,NO,71.0357,27.8492,37.35,81,75,18.41,broken clouds
239,Airai,TL,-8.9266,125.4092,61.57,90,100,0.6,overcast clouds
240,Saint George,US,37.1041,-113.5841,79.27,41,1,3.0,clear sky
241,Plettenberg Bay,ZA,-34.0527,23.3716,62.19,77,100,7.45,overcast clouds
242,Mayo,US,38.8876,-76.5119,64.17,95,90,10.0,heavy intensity rain
243,Carlos Antonio Lopez,PY,-26.4,-54.7667,82.13,61,38,0.72,moderate rain
244,Margate,GB,51.3813,1.3862,54.3,73,100,1.99,overcast clouds
245,East London,ZA,-33.0153,27.9116,63.54,88,40,8.05,scattered clouds
246,Gwadar,PK,25.1216,62.3254,79.47,62,0,8.61,clear sky
247,Deputatskiy,RU,69.3,139.9,6.6,91,100,7.18,overcast clouds
248,Poum,NC,-20.2333,164.0167,75.02,74,0,13.56,clear sky
249,Chulym,RU,55.0997,80.9572,38.75,62,100,17.74,overcast clouds
250,Batagay-Alyta,RU,67.8006,130.4114,-3.48,86,100,5.86,overcast clouds
251,Skjervoy,NO,70.0311,20.9714,41.0,65,97,27.96,overcast clouds
252,Ninotsminda,GE,41.2646,43.5916,34.25,81,100,3.94,overcast clouds
253,Bako,ET,5.7833,36.5667,65.93,68,69,4.72,broken clouds
254,Leshukonskoye,RU,64.8989,45.7622,29.23,97,100,8.86,snow
255,Caravelas,BR,-17.7125,-39.2481,78.26,71,32,8.39,scattered clouds
256,Oksfjord,NO,70.2396,22.3479,39.38,72,70,25.61,light rain
257,Hailey,US,43.5196,-114.3153,53.46,58,1,5.75,clear sky
258,Rio Gallegos,AR,-51.6226,-69.2181,51.85,30,75,28.77,broken clouds
259,Bowen,AU,-20.0167,148.2333,71.82,82,0,4.41,clear sky
